player_id,player_name,season,team,age,games,targets,team_targets,target_share,fantasy_points_ppr,fantasy_ppg,positional_finish,target_share_bucket
00-0029394,Brenton Bersin,2016,CAR,26.0,2.0,6,553,0.0108499095840868,3.7,1.85,182.0,<10%
00-0031684,Shane Wynn,2016,JAX,24.0,2.0,3,623,0.004815409309791332,3.4,1.7,183.0,<10%
00-0032064,DeAndre Smelter,2016,SF,25.0,1.0,1,487,0.002053388090349076,3.3,3.3,184.0,<10%
00-0030691,Jeremy Butler,2016,LAC,25.0,2.0,2,564,0.0035460992907801418,3.1,1.55,185.0,<10%
00-0031310,Devin Street,2016,IND,25.0,2.0,6,572,0.01048951048951049,3.0,1.5,186.0,<10%
00-0031934,Devin Smith,2016,NYJ,24.0,2.0,3,546,0.005494505494505495,3.0,1.5,187.0,<10%
00-0031868,Damiere Byrd,2016,CAR,23.0,1.0,1,553,0.0018083182640144665,2.6,2.6,188.0,<10%
00-0032482,Bralon Addison,2016,CHI,23.0,2.0,1,550,0.0018181818181818182,2.5,1.25,189.0,<10%
00-0032951,Laquon Treadwell,2016,MIN,21.0,4.0,3,585,0.005128205128205128,2.5,0.625,190.0,<10%
00-0030856,Tony Washington,2016,JAX,26.0,1.0,1,623,0.0016051364365971107,1.9,1.9,191.0,<10%
00-0030187,Rashad Ross,2016,WAS,26.0,2.0,1,593,0.0016863406408094434,1.8,0.9,192.0,<10%
00-0031021,Jared Abbrederis,2016,GB,26.0,2.0,2,614,0.003257328990228013,1.8,0.9,193.0,<10%
00-0032679,Paul McRoberts,2016,LA,24.0,1.0,1,530,0.0018867924528301887,1.6,1.6,194.0,<10%
00-0032974,Jordan Payton,2016,CLE,23.0,2.0,3,558,0.005376344086021506,1.3,0.65,196.0,<10%
00-0026293,Matthew Slater,2016,NE,31.0,7.0,1,546,0.0018315018315018315,0.5,0.07142857142857142,197.0,<10%
00-0030671,Isaiah Burse,2016,LAC,25.0,8.0,4,564,0.0070921985815602835,0.0,0.0,201.0,<10%
00-0031953,Geremy Davis,2016,LAC,24.0,3.0,2,564,0.0035460992907801418,0.0,0.0,202.0,<10%
00-0032012,Isaac Fruechte,2016,MIN,25.0,1.0,1,585,0.0017094017094017094,0.0,0.0,204.0,<10%
00-0032070,Dezmin Lewis,2016,BUF,24.0,1.0,1,459,0.002178649237472767,0.0,0.0,205.0,<10%
00-0032250,Kasen Williams,2016,SEA,24.0,1.0,1,548,0.0018248175182481751,0.0,0.0,206.0,<10%
00-0032464,Kalif Raymond,2016,DEN,22.0,4.0,2,556,0.0035971223021582736,0.0,0.0,207.0,<10%
00-0032801,Daniel Braverman,2016,CHI,23.0,2.0,2,550,0.0036363636363636364,0.0,0.0,209.0,<10%
00-0027793,Antonio Brown,2017,PIT,29.0,14.0,163,585,0.27863247863247864,310.3,22.164285714285715,1.0,25-30%
