player_name,team,age,adp,player_id,team_target_share,games_played,target_share_data_quality_flag,redzone_touches,redzone_touch_share,inside_10_carry_share,explosive_run_rate,third_down_snap_share,route_participation_rate,carries,targets,total_touches,opportunity_share,target_share_of_backfield,yards_per_touch,depth_chart_rank,archetype_primary,down_split,lean
Kenneth Gainwell,TB,,107.4,00-0036919,0.162835249042146,17.0,,,,,,0.6952380952380952,0.5969125214408233,114.0,85.0,199.0,0.41030927835051545,0.6439393939393939,5.470588235294118,2.0,committee_back,3-down,receiving_lean
Avery Williams,,27.0,215.9,00-0036950,0.0,18.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,committee_back,2-down,none
Isaiah Spiller,,23.0,215.9,00-0038045,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Najee Harris,LAC,27.0,215.9,00-0036893,0.031249999999999764,20.0,corrected,1.0,0.0064516129032258,0.0,0.0,,0.0333863275039745,15.0,51.0,329.0,0.5004951282561145,0.043478260869565216,4.777777777777778,1.0,committee_back,2-down,none
Rashaad Penny,,28.0,215.9,00-0034750,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Aaron Shampklin,,25.0,216.0,00-0037609,,3.0,,,,,,,,,0.0,6.0,0.011214953271028038,,,,unconfirmed,not_applicable,none
Alexander Mattison,,27.0,216.0,00-0034972,,14.0,,,,,,,,,48.0,180.0,0.42857142857142855,,,,bellcow,2-down,none
Ameer Abdullah,JAX,33.0,216.0,00-0032104,0.041944847605224954,13.0,,4.0,0.021505376344086,0.0338983050847457,0.0,0.1179487179487179,0.1082474226804123,14.0,17.0,31.0,0.06888888888888889,0.22077922077922077,5.3,4.0,committee_back,2-down,none
Anthony Tyus,CAR,23.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Antonio Gibson,FA,27.0,216.0,00-0036328,0.02116182572614076,5.0,,4.0,0.0248447204968944,0.0344827586206896,0.08,,0.0308529945553539,25.0,3.0,28.0,0.06153846153846154,0.03614457831325301,4.148148148148148,5.0,handcuff,not_applicable,none
Audric Estime,NO,22.0,216.0,00-0039373,0.07823008849557514,5.0,corrected,6.0,0.0504201680672268,0.1428571428571428,0.0217391304347826,0.2017937219730941,0.1747269890795632,46.0,13.0,59.0,0.15567282321899736,0.16883116883116883,5.189655172413793,4.0,handcuff,not_applicable,none
Austin Ekeler,FA,30.0,216.0,00-0033699,0.13773148148148145,14.0,corrected,2.0,0.0137931034482758,0.0,0.0,0.1058201058201058,0.0862745098039215,14.0,48.0,139.0,0.24108627515671396,0.12727272727272726,4.2631578947368425,4.0,handcuff,not_applicable,none
Benny Snell,,25.0,216.0,00-0035217,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Brian Hill,,27.0,216.0,00-0033567,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Bryant Koback,,26.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
CJ Donaldson,NO,22.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
D'Onta Foreman,,28.0,216.0,00-0033925,,10.0,,,,,,,,,8.0,79.0,0.2,,,,committee_back,2-down,none
Damien Harris,,27.0,216.0,00-0035657,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Damien Martinez,GB,22.0,216.0,,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Dare Ogunbowale,LV,32.0,216.0,00-0033854,0.028545595453371264,14.0,,9.0,0.0573248407643312,0.1111111111111111,0.0,0.3982683982683982,0.1682847896440129,11.0,13.0,24.0,0.05161290322580645,0.17105263157894737,4.809523809523809,2.0,handcuff,not_applicable,none
Deneric Prince,,25.0,216.0,00-0038518,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
Dwayne Washington,,30.0,216.0,00-0032450,,,,,,,,,,,,,,,,,unconfirmed,not_applicable,none
